Location ,NEM_Amihan,SWM_Habagat,Jun2011-May2012,Jun2012-May2013,Jun2013-May2014
Palanas,6.71,2.52,5.62,6.01,6.07
Wangag,6.77,3.02,6.71,6.64,6.52
Magbangon,6.05,3.6,7.41,6.97,6.24
Cabatoan,5.75,3.13,7.37,6.98,5.84
Caridad_Cemetery,5.37,1.26,4.36,3.84,2.24
Caridad_Proper,4.63,4.69,3.84,3.08,0.88
Hicgop,3.49,12.67,6.25,5.89,4.37
Hicgop_South,3.36,10.76,5.7,5.15,4.13
Sitio_Tugas,2.97,6.58,3.97,3.09,2.78
Elementary_School,2.67,2.8,2.84,1.57,1.08
Sitio_Lonas,2.48,3.6,5.52,6.53,7.2
San_Agustin,2.4,3.44,5.42,6.38,7.12
Poroc_San_Flower,2.31,3.17,5.09,6.26,6.55
Poroc_Rose,2.38,2.97,4.52,6.22,5.72
Pangasugan,2.63,2.79,4.54,5.4,3.52
Visca,2.71,2.61,4.42,4.67,3.17
Gabas,3.22,2.44,3.59,2.93,2.21
Haina,6.15,9.07,1.58,3.04,2.31
Sitio_Baybayon,6.32,9.56,1.53,2.69,2.31
Tamakin_Dacot,5.96,8.28,1.61,2.98,2.03
