"year","k","theta","iteration"
2014,-3.29776478133149,8,1
2014,-3.34436827457494,8,2
2014,-3.45805402573881,8,3
2014,-2.00956607911881,0.371175458996385,4
2014,-3.53814933557548,8,5
2014,-0.219434699066684,0.169053608802058,6
2014,-3.63562679942845,8,7
2014,-3.72508175629449,8,8
2014,-3.50269726033213,0.15,9
2014,-3.76458536347942,8,10
2014,-8.808206096195,0.15,11
2014,-4.63817169733889,0.15,12
2014,-5.58485568798637,0.15,13
2014,-4.51848849666492,0.15,14
2014,-6.45025563782738,0.15,15
2014,-4.09185908791013,8,16
2014,-10,2.22354539137257,17
2014,-9.04379864781003,0.15,18
2014,-5.97181506479119,0.15,19
2014,-9.87284153005942,0.15,20
2014,-10,2.64299399371822,21
2014,-10,0.15,22
2014,-10,0.15,23
2014,-10,0.15,24
2014,-10,2.68045234982899,25
2014,-10,2.78594383939268,26
2014,-10,2.73825111977434,27
2014,-10,2.82642447698958,28
2014,-10,2.82059845110669,29
2014,-10,2.81991721767604,30
2014,-10,2.76690441791239,31
2014,-10,2.82819875666104,32
2014,-10,2.83455950227281,33
2014,-10,2.86201411306913,34
2014,-10,2.84720945497702,35
2014,-10,2.8750569851671,36
2014,-10,2.87189303841322,37
2014,-10,2.86610496528787,38
2014,-10,2.8619075104769,39
2014,-10,2.90809171978419,40
2014,-10,2.86958382197726,41
2014,-10,2.86120638481515,42
2014,-10,2.87230365512571,43
2014,-10,2.87465350412628,44
2014,-10,2.86006441943205,45
2014,-10,2.86540594469275,46
2014,-10,2.96238399716011,47
2014,-10,2.87143951782317,48
2014,-10,2.87541677481691,49
2014,-10,2.87316179688284,50
2014,-10,2.97065033806154,51
2014,-10,2.99565733682074,52
2014,-10,2.98794833615857,53
2014,-10,2.98975999116059,54
2014,-10,2.99201247528293,55
2014,-10,2.99135166956306,56
2014,-10,2.99109891038521,57
2014,-10,2.99428256707867,58
2014,-10,2.99238610694139,59
2014,-10,2.99518702270066,60
2014,-10,3.00584325371203,61
2014,-10,3.00683232682547,62
2014,-10,2.94376891378479,63
2014,-10,2.99886270485977,64
2014,-10,3.00732538129579,65
2014,-10,3.00068888234443,66
2014,-10,2.99787083355659,67
2014,-10,2.99863130725728,68
2014,-10,3.00872878975157,69
2014,-10,3.00272297458765,70
2014,-10,3.00034354068862,71
2014,-10,3.00374413023342,72
2014,-10,3.01088704019312,73
2014,-10,3.00516410038766,74
2014,-10,3.00252959867706,75
2014,-10,3.01713816096126,76
2014,-10,3.00607341755055,77
2014,-10,3.0026235511715,78
2014,-10,3.01512004260643,79
2014,-10,3.00390082065427,80
2014,-10,3.00426767314826,81
2014,-10,3.00888377995808,82
2014,-10,3.00507554905206,83
2014,-10,3.03542995913505,84
2014,-10,3.00540608884462,85
2014,-10,3.00625506647041,86
2014,-10,3.00611998876527,87
2014,-10,3.01821483163091,88
2014,-10,3.01254518668063,89
2014,-10,3.00665712863068,90
2014,-10,3.01495282581407,91
2014,-10,3.02542379014338,92
2014,-10,3.00797489831053,93
2014,-10,3.01781647097091,94
2014,-10,3.02073447714038,95
2014,-10,3.00929639550795,96
2014,-10,3.01463384812163,97
2014,-10,3.00969713885031,98
2014,-10,3.0212789768708,99
2014,-10,3.01119963213546,100
