"year","k","theta","mdd","med","dist90","iteration"
2014,-3.32691565348087,8,13.403552994175,13.12,24.5,1
2014,-3.35870993952331,8,13.8365564340859,13.54,25.29,2
2014,-3.37889485658805,8,14.1186839597669,13.82,25.8,3
2014,-2.73063825194065,1.52393860187777,10.0074462494213,7.95,21.5,4
2014,-3.35762091882443,8,13.8214963395822,13.53,25.26,5
2014,-1.36437281826911,0.577622170415493,13.6411274264481,7.11,33.97,6
2014,-2.62014786752023,1.39623677178715,9.56031505615043,7.41,20.83,7
2014,-3.33120102728739,8,13.4611154793646,13.17,24.6,8
2014,-3.33859427378946,8,13.5610056254682,13.27,24.78,9
2014,3.79472299308868,0.1997506888446,346.457412978953,50.82,747.32,10
2014,-1.53597280551366,0.633245029113006,12.1230788387969,6.7,29.88,11
2014,2.71355234714642,0.228872931865581,157.74867877486,29.6,362.62,12
2014,-3.34406830121284,8,13.6354424909464,13.35,24.92,13
2014,-2.61708802749291,1.30378373747161,10.103633845642,7.68,22.26,14
2014,-3.34172778566281,8,13.6035658442302,13.31,24.86,15
2014,-1.56583175340098,0.611368595470101,13.8873899329187,7.51,34.37,16
2014,-3.33784415993394,8,13.5508371414985,13.26,24.76,17
2014,-3.32918637629844,8,13.434023329539,13.15,24.55,18
2014,-1.42320916741218,0.609068914855795,12.1832397438529,6.57,30.17,19
2014,-2.77427978856219,1.50053052769635,10.5665086103435,8.36,22.76,20
2014,-1.33516947139195,0.571448799762953,13.7415329805013,7.11,34.26,21
2014,-1.0578365706743,0.551339117669545,11.8134460944774,5.96,29.56,22
2014,-2.68399629941855,1.55653716728512,9.41701524663512,7.52,20.16,23
2014,-1.9524333188005,0.768128764019492,11.2586680186289,6.93,27.03,24
2014,-0.853437092133892,0.486432205932485,15.8395929216446,7.28,40.01,25
2014,-1.06012633447697,0.522056449538589,14.5429328429106,7.06,36.56,26
2014,-2.63482837632143,1.36645187130048,9.87394357016013,7.61,21.59,27
2014,-3.36132714553211,8,13.8728169827221,13.58,25.35,28
2014,1.79632758118992,0.266717392125293,70.0554942680171,16.71,169.23,29
2014,-1.3131248377179,0.572125348326067,13.3875609440403,6.93,33.37,30
2014,-2.62935451179792,1.26241138307763,10.5398730382077,7.93,23.35,31
2014,0.996590723712996,0.302230313100524,48.500455615444,13.72,120.28,32
2014,-2.93201917903373,1.68540138105112,11.4962801742558,9.36,24.31,33
2014,-0.292806498924001,0.41846089133726,18.8016642642323,7.59,47.74,34
2014,-3.31599023210886,8,13.2579105808736,12.98,24.23,35
2014,-2.05978859601387,0.816496715518345,11.0422319359347,7.01,26.27,36
2014,-3.35060427797507,8,13.7248553079293,13.43,25.08,37
2014,-2.73989833816832,1.43051575923289,10.5737529503802,8.25,22.95,38
2014,0.829956678293604,0.312754489325947,43.0386163021752,12.71,107.3,39
2014,-2.88331628206497,1.90106815813909,10.3042201042047,8.62,21.4,40
2014,-1.80879854087278,0.752982662521493,10.1915191266176,6.21,24.54,41
2014,-2.76355708239299,1.45157843972624,10.7078968564979,8.39,23.18,42
2014,-1.80390851406506,0.717218116817285,11.361853280256,6.75,27.55,43
2014,-2.50226273121068,1.27264786777401,9.21100798537849,6.95,20.38,44
2014,-3.30867684452858,8,13.1613040333927,12.88,24.05,45
2014,0.782404441189452,0.316843614354941,40.6330017533425,12.19,101.48,46
2014,-2.89736524916369,1.77419782015119,10.8018511765125,8.9,22.66,47
2014,-2.46713474393506,1.07359708558354,10.7171209027741,7.63,24.39,48
2014,-3.34914742658389,8,13.7048747912368,13.41,25.05,49
2014,-3.33737949423485,8,13.5445419949722,13.26,24.75,50
2014,-3.35260111794672,8,13.7522890288768,13.46,25.13,51
2014,-3.30029859801726,8,13.0514960253801,12.77,23.85,52
2014,-3.34054964979082,8,13.5875484325298,13.3,24.83,53
2014,-3.32778522646095,8,13.4152134307595,13.13,24.52,54
2014,-2.13250227218278,0.919519926382058,9.58808574252393,6.42,22.38,55
2014,-3.33200845145253,8,13.4719886983463,13.19,24.62,56
2014,-3.30101723251783,8,13.0608786516434,12.78,23.87,57
2014,-2.85476490352,1.88040028533605,10.0638439175786,8.4,20.93,58
2014,-0.0128122533491999,0.400839948996446,18.0670910660466,7,45.87,59
2014,-2.89583044522291,1.71621740108958,10.9765907477914,8.98,23.15,60
2014,-3.35654643660561,8,13.8066533632029,13.51,25.23,61
2014,-2.59665334421564,1.46488176885991,9.00091953096335,7.07,19.46,62
2014,-2.58896110445023,1.24815349924916,10.2343622555435,7.67,22.71,63
2014,-1.22063473138678,0.582432774314253,11.4908320609378,6.02,28.59,64
2014,-2.81574564739608,1.54740067983038,10.7849661777003,8.6,23.11,65
2014,-3.08762300545722,2.58826582814131,11.4109414287462,10.1,22.73,66
2014,-0.439233007938591,0.431255282837903,18.5573887770863,7.7,47.1,67
2014,-1.45638714267399,0.604991211605905,12.8618416114031,6.91,31.87,68
2014,-3.32613798989832,8,13.3931335910559,13.11,24.48,69
2014,-2.40504531351833,1.09727976766331,9.8029321106967,7.04,22.23,70
2014,-2.37146980732552,1.03368770864682,10.2328463719489,7.18,23.43,71
2014,-3.34325591570979,8,13.6243697534202,13.33,24.9,72
2014,-2.80784083699124,1.59886591795842,10.4769958465743,8.42,22.34,73
2014,-2.05431292351333,0.882197745089213,9.5098111291391,6.26,22.35,74
2014,-3.3596144810166,8,13.8490778357247,13.55,25.31,75
2014,-2.96316027822912,2.32324489042796,10.3670422822407,9.01,20.94,76
2014,-3.30872079086721,8,13.1618824372261,12.88,24.05,77
2014,-3.35348547819662,8,13.7644563860132,13.47,25.16,78
2014,-3.32787542104397,8,13.4164234649092,13.13,24.52,79
2014,-3.33172809469196,8,13.4682122646375,13.18,24.61,80
2014,-3.00031025504697,2.02037353489074,11.2896556805809,9.56,23.24,81
2014,-3.33937681943265,8,13.5716218846418,13.28,24.8,82
2014,-3.31275422790597,8,13.2150772682576,12.93,24.15,83
2014,-2.60384883074563,1.52905535082911,8.79566475647065,6.99,18.89,84
2014,-3.34699081099436,8,13.675350492341,13.38,24.99,85
2014,-3.3799686278312,8,14.1338523388117,13.83,25.83,86
2014,-2.88833208810545,1.68031391531066,11.0237345757184,8.97,23.32,87
2014,-2.73379987705221,1.47469942969198,10.2738410977101,8.09,22.19,88
2014,-3.29192449791316,8,12.9426578381459,12.67,23.65,89
2014,-3.35327294577999,8,13.7615313036812,13.47,25.15,90
2014,-3.32801859435415,8,13.4183444761825,13.13,24.52,91
2014,-1.53451708957196,0.659960540407983,10.7627958480001,6.1,26.39,92
2014,-3.33232936063888,8,13.4763126770409,13.19,24.63,93
2014,-2.82452345302819,1.58732646093124,10.7018703593433,8.59,22.84,94
2014,-2.97236485820937,1.90026366893165,11.2660263249572,9.42,23.4,95
2014,-3.32047285954211,8,13.3174742557201,13.03,24.34,96
2014,-3.34137394751688,8,13.5987532352096,13.31,24.85,97
2014,0.626434303536882,0.336163766749783,30.1183271852751,9.69,75.74,98
2014,-2.82680226852306,1.60040030945712,10.6711620279625,8.58,22.75,99
