"season","k","theta","mdd","med","dist90","iteration"
"SWM",-2.57265128745071,1.58073505409652,8.34106107695908,6.69,17.82,1
"SWM",-2.68989043410363,1.609863743366,9.27180706934042,7.47,19.75,2
"SWM",-2.17575260966513,1.06081007582611,8.13157990849546,5.76,18.54,3
"SWM",-1.2210379118814,0.638786766772441,8.62587990467397,4.79,21.24,4
"SWM",-2.6954914845787,1.64344371684579,9.2082117415712,7.45,19.55,5
"SWM",-2.15957293650959,0.983965926929859,8.87183125825223,6.11,20.48,6
"SWM",-2.66172468377167,1.47606082015324,9.55302021649313,7.52,20.63,7
"SWM",-2.34690495283039,1.20696916873919,8.30970406434397,6.16,18.55,8
"SWM",-2.12918667125301,1.02479008240874,8.12580206304378,5.69,18.63,9
"SWM",-2.54330096157141,1.4783559048128,8.47661106380163,6.68,18.3,10
"SWM",-2.26029551912847,1.11381709559866,8.33064525076076,6.01,18.84,11
"SWM",-2.53595914907594,1.4981691086058,8.33510845574435,6.59,17.96,12
"SWM",-2.50468467468261,1.36680926125623,8.66713340847716,6.68,18.95,13
"SWM",-2.26064069797962,1.09682884248163,8.48905527782938,6.09,19.25,14
"SWM",-1.75304677796049,0.792978122779394,8.62040500079921,5.39,20.6,15
"SWM",-2.13302538658292,1.00191634591243,8.41744020676902,5.84,19.38,16
"SWM",-2.57862752880841,1.75397206159639,7.90045616682478,6.49,16.61,17
"SWM",-2.28319632015196,1.12598468451413,8.4153533513837,6.1,19,18
"SWM",-2.57610702597661,1.51271160465388,8.61823466862449,6.83,18.54,19
"SWM",-2.46719375734513,1.28615090609229,8.80626378797441,6.66,19.45,20
"SWM",-2.39430412767749,1.29114264028222,8.15799066605704,6.18,18,21
"SWM",-2.12144877290057,1.00271151819022,8.31120599107249,5.77,19.13,22
"SWM",-2.6905442396531,1.56574390867712,9.44245425504152,7.55,20.2,23
"SWM",-2.57475300148218,1.44579787985913,8.892120403081,6.96,19.26,24
"SWM",-1.9763160468232,0.934962947128155,7.98450639968013,5.39,18.59,25
"SWM",-2.62129657000022,1.51894151047291,8.99111247084209,7.13,19.33,26
"SWM",-2.02741614405653,0.962886118835225,8.02806201425489,5.48,18.6,27
"SWM",-1.55401014098498,0.724693251657169,8.6316144886118,5.16,20.9,28
"SWM",-2.60233550418396,1.53292256036302,8.76736206489582,6.97,18.82,29
"SWM",-2.64252002663578,1.6774546955589,8.62969017136493,7.02,18.26,30
"SWM",-2.5220227274264,1.38828319691156,8.70669083935764,6.74,18.99,31
"SWM",-2.65469873479196,1.50353571960672,9.36243854046044,7.41,20.16,32
"SWM",-2.44573734245175,1.24005112821344,8.92557739568331,6.68,19.83,33
"SWM",-2.55923968176028,1.33348504635934,9.34720732395998,7.15,20.52,34
"SWM",-2.51565942004141,1.4780570362809,8.24671665142003,6.5,17.8,35
"SWM",-2.45995551100481,1.38310433143922,8.20757196879597,6.35,17.91,36
"SWM",-2.58572165810605,1.49686391317489,8.76576172591944,6.93,18.89,37
"SWM",-2.66740234300283,1.63489734361448,8.98102279000386,7.26,19.08,38
"SWM",-2.63875114883739,1.74843837273437,8.40397333646812,6.9,17.67,39
"SWM",-2.48941029626035,1.5098334194567,7.91297403843648,6.27,17.02,40
"SWM",-2.64992407840097,1.45734612525258,9.52957612740542,7.48,20.62,41
"SWM",-2.40154691152098,1.32257373141379,8.04118646546482,6.14,17.68,42
"SWM",-2.5835505342517,1.5671760574199,8.47931031287319,6.78,18.14,43
"SWM",-2.62061528866225,1.58500950384669,8.73585833905426,7.01,18.65,44
"SWM",-2.67814608144881,1.53704758473651,9.44075904680023,7.51,20.25,45
"SWM",-2.41963397586659,1.28503790180621,8.40398491994856,6.36,18.56,46
"SWM",-2.54001424596559,1.40361533903704,8.78712952313407,6.82,19.13,47
"SWM",-2.61417944008902,1.5016764074115,8.99845897096414,7.12,19.38,48
"SWM",-2.24375918450904,1.10037457538321,8.31426838971368,5.97,18.84,49
"SWM",-2.49807324264703,1.35775137458821,8.65804473840923,6.66,18.95,50
"SWM",-2.58922263431046,1.54486579394932,8.60823937902549,6.86,18.45,51
"SWM",-1.68251920004326,0.747985577145809,9.11858623361631,5.54,21.98,52
"SWM",-2.10964290959105,0.984639720275308,8.43130384157038,5.81,19.46,53
"SWM",-2.72033577255742,1.73387777579411,9.15895994700302,7.51,19.28,54
"SWM",-2.67614496331886,1.67538011111075,8.93110720399672,7.26,18.9,55
"SWM",-2.77081707780443,1.64367356918332,9.92779424804817,8.04,21.08,56
"SWM",-2.52808499864317,1.49620387721045,8.27739277622615,6.54,17.83,57
"SWM",-2.62296786484325,1.61575386153519,8.65218524485138,6.97,18.42,58
"SWM",-2.60745641793976,1.64945692412215,8.41404319618879,6.82,17.85,59
"SWM",-2.65993320701257,1.509316186681,9.38642603338297,7.43,20.2,60
"SWM",-2.54577356774097,1.36599663878109,9.03514359321987,6.96,19.76,61
