"year","k","theta","mdd","med","dist90","iteration"
NA,-2.62535014223938,1.47909187711141,9.19813612901217,7.25,19.85,1
NA,-2.14502004512024,1.04122207078131,8.08033397343794,5.69,18.48,2
NA,-1.65300592581639,0.761673933567875,8.50121888422163,5.21,20.43,3
NA,-1.77940187218219,0.802947399708315,8.62675347939866,5.43,20.57,4
NA,-2.26898135886305,1.10974312964496,8.44007987902949,6.08,19.1,5
NA,-2.48935537665395,1.30682056171398,8.87344351960637,6.75,19.54,6
NA,-2.45694239311791,1.36849398031686,8.2546161030666,6.36,18.04,7
NA,-2.55782417003683,1.36766021260138,9.1354305055793,7.04,19.97,8
NA,-2.59420295322226,1.49908094982944,8.83120968615372,6.98,19.02,9
NA,-2.8966781659831,1.90912261756356,10.4231631557622,8.73,21.63,10
NA,-2.59989121338924,1.50423249516669,8.86024303540117,7.01,19.07,11
NA,-2.7414860534616,1.64531331620702,9.6351385676028,7.8,20.45,12
NA,-2.28254198858867,1.07551275718886,8.89065166885134,6.33,20.23,13
NA,-2.52673155920256,1.50818229627201,8.220125877829,6.51,17.69,14
NA,-0.704674637182712,0.5004170851194,12.0969309248784,5.68,30.5,15
NA,-1.13887402992309,0.580735402818881,10.6923934031716,5.59,26.61,16
NA,-2.60614955873346,1.58795760438521,8.60026574253182,6.9,18.36,17
NA,-2.6961140113808,1.47326695284951,9.90084692034617,7.79,21.39,18
NA,-2.7690041358898,1.65177553063095,9.88109776714855,8.01,20.96,19
NA,-2.45293847836112,1.40212301665916,8.06115290663685,6.26,17.55,20
NA,-1.30118659407342,0.615438587159982,10.4426021442599,5.67,25.82,21
NA,-0.87158768462432,0.529032278286472,11.4389476032206,5.6,28.72,22
NA,-2.3832177776444,1.22903191017178,8.45944137822572,6.31,18.82,23
NA,-1.98659664105365,0.914568056007394,8.36011697138411,5.59,19.53,24
NA,-2.29005885519632,1.02666468618384,9.52027585626069,6.67,21.83,25
NA,-2.56974781499403,1.38923664049427,9.12722783996592,7.07,19.9,26
NA,-2.52615689233375,1.49351268161365,8.27197364932856,6.53,17.83,27
NA,-0.993655415360398,0.544637434293388,11.5847336018761,5.8,29.02,28
NA,-2.54248746037725,1.32455263448699,9.24608916305589,7.06,20.32,29
NA,-2.47886379537921,1.30381323618702,8.79910890667897,6.69,19.39,30
NA,-2.48077340244586,1.2789963445293,8.97313567011808,6.78,19.83,31
NA,-0.304157400034606,0.440578146532101,14.5362956019418,6.15,36.88,32
NA,-2.56160887180111,1.35453451181034,9.24446421062481,7.1,20.24,33
NA,-2.31572852933891,1.13685299381012,8.59759636781554,6.25,19.38,34
NA,0.750761950099589,0.344187542271346,22.4111033037735,7.41,56.49,35
NA,-1.42869830342856,0.66089702421742,9.64435528826248,5.47,23.64,36
NA,-2.64772543129771,1.45383041505224,9.5257131020295,7.47,20.62,37
NA,-0.445804304605556,0.466747153106937,12.6816022173378,5.63,32.1,38
NA,-2.51242461508618,1.36890604481296,8.72336494371435,6.73,19.07,39
NA,-0.518784312617526,0.471909936033893,12.9707886093767,5.81,32.82,40
NA,-3.30679110430414,8,13.1365086191645,12.86,24.01,41
NA,-2.4729637841898,1.32347558352149,8.63128035083172,6.59,18.97,42
NA,-2.54354168101243,1.40025500285526,8.83499146612412,6.86,19.24,43
NA,-2.51743271920571,1.30688816066236,9.12569172508353,6.94,20.1,44
