"season","k","theta","mdd","med","dist90","iteration"
"SWM",-2.79843550564113,2.26748883725774,8.85777259555457,7.67,17.95,1
"SWM",-2.79599727256991,1.7869130497193,9.72515039326398,8.03,20.38,2
"SWM",-2.79547923810931,1.97974059922242,9.27456374238499,7.82,19.15,3
"SWM",-2.64259534435105,1.81772059282238,8.27150150352628,6.85,17.29,4
"SWM",-2.74125399525749,2.23074679766662,8.40898926805526,7.26,17.07,5
"SWM",-2.66171491264654,1.91803100673254,8.22361624958431,6.89,17.06,6
"SWM",-2.78523809160842,1.97370583977494,9.19168149452661,7.75,18.98,7
"SWM",-2.59598818098104,1.70006088878949,8.1754521023686,6.67,17.27,8
"SWM",-2.65760973127296,1.80313346953653,8.43003250954143,6.97,17.64,9
"SWM",-2.78412455352759,2.09416221641491,8.97093743445017,7.65,18.37,10
"SWM",-2.72185785609843,1.97949542650175,8.61672717703639,7.27,17.79,11
"SWM",-2.64510089138155,1.79692996163797,8.33954807782558,6.89,17.46,12
"SWM",-2.73991377181537,2.14544830651025,8.50866042949002,7.29,17.37,13
"SWM",-2.75997219609057,2.05336469932712,8.82186663215332,7.5,18.12,14
"SWM",-2.84001737653832,2.32033349147895,9.16929990645167,7.97,18.52,15
"SWM",-2.73834761726099,2.17092360469155,8.46069854064494,7.27,17.24,16
"SWM",-2.622073490412,1.88045744939547,7.97445949623678,6.66,16.59,17
"SWM",-2.58058867626441,1.61019928336644,8.31073526080091,6.69,17.7,18
"SWM",-2.77022975448007,2.1605807567762,8.74913773324829,7.51,17.84,19
"SWM",-2.81513039796436,2.31966138293977,8.94469002219823,7.77,18.07,20
"SWM",-2.5586340486174,1.60853048715194,8.13546654279987,6.55,17.33,21
"SWM",-2.78760881904458,1.9921411812334,9.17830864749967,7.75,18.93,22
"SWM",-2.78918283927341,1.88798153405717,9.40774952999511,7.86,19.56,23
"SWM",-2.74700604322102,2.06275148085485,8.69307055595836,7.39,17.84,24
"SWM",-2.56192017460363,1.62277186079834,8.11830407985832,6.55,17.27,25
"SWM",-2.78513364343272,2.25578472563512,8.75493373176637,7.57,17.75,26
"SWM",-2.67174785523495,1.77004622173542,8.63050769186169,7.11,18.11,27
"SWM",-2.71368876640917,1.76214613772326,9.02101451515833,7.42,18.95,28
"SWM",-2.739559538564,1.87029589055032,8.99097919123097,7.5,18.72,29
"SWM",-2.76300897590619,2.06959241116375,8.82223602599122,7.51,18.1,30
"SWM",-2.78193433052154,2.0050591840631,9.10250781858961,7.7,18.76,31
"SWM",-2.63892387269195,1.77237337567028,8.3461794603061,6.88,17.51,32
"SWM",-2.666495492417,1.90685363122696,8.28441846470113,6.93,17.2,33
"SWM",-2.57302006623988,1.71302840218881,7.95636486054804,6.5,16.78,34
"SWM",-2.52854732037889,1.60204138228561,7.91414591755461,6.36,16.87,35
"SWM",-2.36665683372185,1.31259452519602,7.81784924604098,5.95,17.21,36
"SWM",-2.74760940323649,2.01438646616283,8.77902894426569,7.43,18.08,37
"SWM",-2.68870521975346,1.84785856041515,8.59356989092029,7.15,17.92,38
"SWM",-2.74216099221829,1.96552377081751,8.81940904525044,7.43,18.23,39
"SWM",-2.77381619712046,1.979657210838,9.07596693660097,7.66,18.74,40
"SWM",-2.5455937703077,1.67445203144777,7.84052824288552,6.37,16.6,41
"SWM",-2.75397360280748,2.04887250132275,8.7764913851978,7.45,18.03,42
"SWM",-2.68131757109904,1.82046280044171,8.59174946542804,7.12,17.96,43
"SWM",-2.66683046928403,1.89860318431465,8.30326925798425,6.94,17.25,44
"SWM",-2.85870114796898,2.42409675549871,9.22706033687233,8.08,18.53,45
"SWM",-2.62526161232264,1.79241610244221,8.18604000027295,6.76,17.15,46
"SWM",-2.72683546405133,2.21352903324049,8.30955720208793,7.16,16.89,47
"SWM",-2.63725720375964,1.79274934130459,8.28405413461655,6.84,17.35,48
"SWM",-2.76973223034928,2.22291810809255,8.66177298874222,7.47,17.6,49
"SWM",-2.76123655943612,1.99761337982427,8.92945389309842,7.55,18.41,50
"SWM",-2.61580341005646,1.60739468597464,8.6178780032476,6.94,18.36,51
"SWM",-2.63235476508508,1.81799817163623,8.18661770542116,6.78,17.11,52
"SWM",-2.76568756016039,2.06477284963194,8.8537044015435,7.53,18.17,53
"SWM",-2.76643627856626,2.10562335507548,8.79604726405747,7.51,18,54
"SWM",-2.4805462816306,1.36747524824198,8.45700243309199,6.52,18.49,55
"SWM",-2.53103181185599,1.56062277697654,8.06744735154389,6.45,17.27,56
"SWM",-2.87174399316779,2.28513488542341,9.50867328356259,8.24,19.25,57
"SWM",-2.71877257965793,2.00032695745324,8.55350824171904,7.23,17.63,58
"SWM",-2.63977247427339,1.81518322392587,8.25382750534731,6.84,17.26,59
"SWM",-2.60449850417977,1.50380867742456,8.90291321969937,7.04,19.17,60
"SWM",-2.60612083457406,1.61361879001858,8.51454189672312,6.86,18.13,61
"SWM",-2.75517860254897,2.07640735477511,8.74260696588912,7.45,17.93,62
"SWM",-2.80440316140634,2.130305561875,9.09818145191097,7.79,18.59,63
"SWM",-2.83376052576183,2.39927982111162,9.02512801030987,7.89,18.15,64
"SWM",-2.63036270767348,1.72994384994207,8.38109716935009,6.87,17.65,65
"SWM",-2.84939881497851,2.29481772949308,9.28654870394399,8.06,18.79,66
"SWM",-2.81519327363902,2.09988805096732,9.24475017236436,7.89,18.93,67
"SWM",-2.7340372693117,1.95504805105075,8.76776484124153,7.38,18.13,68
"SWM",-2.85796203191945,2.11072843195631,9.63062623795873,8.23,19.7,69
"SWM",-2.59010325501023,1.62279429071216,8.35028743198039,6.74,17.76,70
"SWM",-2.77162653360542,2.32857734865833,8.55418228956301,7.44,17.27,71
"SWM",-2.62271619718946,1.79873764145558,8.15084937026907,6.74,17.07,72
"SWM",-2.71229654062764,1.83196463017643,8.83507896325703,7.33,18.45,73
"SWM",-2.72446611289315,1.82101788988789,8.9692526310765,7.43,18.75,74
"SWM",-2.69889098709948,1.92769308722524,8.51634132916728,7.15,17.65,75
"SWM",-2.71430063797835,1.74109573428969,9.08369689522619,7.45,19.11,76
"SWM",-2.74072309738512,2.03656160538114,8.68122090987844,7.37,17.85,77
"SWM",-2.688078409319,1.97467694348591,8.33893030112633,7.03,17.22,78
"SWM",-2.68900803725419,1.92669846148298,8.4344857617343,7.08,17.48,79
"SWM",-2.85150816318743,2.41291422267025,9.17244230369098,8.03,18.43,80
"SWM",-2.55836027049148,1.52119907091838,8.43408916826327,6.69,18.12,81
"SWM",-2.7689959833978,2.17308885276464,8.72104921382032,7.49,17.77,82
"SWM",-2.68732378056814,1.85638587516251,8.56310531382957,7.13,17.85,83
"SWM",-2.76115203068992,2.10332961088168,8.75316799445857,7.47,17.92,84
"SWM",-2.66987225087306,1.64004378032516,8.98635189766764,7.27,19.08,85
"SWM",-2.61306814256131,1.68308338016009,8.36328811267224,6.81,17.69,86
"SWM",-2.80997586872427,2.22652645741735,9.01271289658141,7.78,18.3,87
"SWM",-2.70520350515998,1.81241228203419,8.81855555866137,7.3,18.44,88
"SWM",-2.61100612372761,1.71602196088771,8.25651662477414,6.75,17.41,89
"SWM",-2.66040935006402,1.86270979829834,8.32246280566605,6.93,17.34,90
"SWM",-2.79191377926296,2.18760947384294,8.9031071188454,7.66,18.13,91
"SWM",-2.60852434734485,1.55051623080035,8.75477716636465,6.98,18.76,92
"SWM",-2.55437511631729,1.48053619388167,8.56190490476984,6.75,18.48,93
"SWM",-2.78820760044677,2.28269953108552,8.74949228878547,7.58,17.71,94
