time_scale,time_id,k,theta,mdd,med,dist90,log_like,iteration
annual,2012,-2.04525419251628,0.940630027498835,8.47299978403946,5.73,19.71,-50256.9501933019,1
annual,2013,-1.57996216598012,0.773358409702757,7.64437758261676,4.72,18.33,-179731.540697781,1
annual,2014,-0.672251761415645,0.627032702501068,5.26219721732673,2.89,12.98,-194351.930215008,1
interannual,2012-4,-1.21961667842225,0.702030167598708,6.67736393849145,3.92,16.24,-593542.428936831,1
season,NEM,-1.26104048562394,0.724048581064158,6.45326472860325,3.85,15.63,-559665.573640574,1
season,SWM,-1.47382939794015,0.624976020756789,11.8454152013404,6.5,29.24,-29613.4106544465,1
annual,2012,-2.07249326157232,0.957969979958767,8.46385573882792,5.77,19.63,-50959.8423765929,2
annual,2013,-1.54477487898221,0.762595292838312,7.60886009470256,4.67,18.29,-181574.673914065,2
annual,2014,-0.700057094412471,0.631850789927461,5.28925032891559,2.92,13.04,-195142.243173411,2
interannual,2012-4,-1.2126886650995,0.700183242918246,6.67527112284234,3.91,16.24,-594215.121163972,2
season,NEM,-1.26123037767701,0.724213094145794,6.45098935976346,3.85,15.62,-561050.56791157,2
season,SWM,-1.38235456756575,0.600529279889357,12.2270504698897,6.54,30.32,-28770.0028919221,2
annual,2012,-2.05755019850249,0.943421736664497,8.5380142595512,5.78,19.85,-49485.5898775343,3
annual,2013,-1.58677598249897,0.775979091510732,7.64089836699709,4.73,18.32,-180714.241954902,3
annual,2014,-0.706160849701403,0.632883142547767,5.29613773930941,2.93,13.05,-194553.955881555,3
interannual,2012-4,-1.23575413077544,0.706079508035846,6.68932261523704,3.94,16.25,-593871.988040779,3
season,NEM,-1.28580588996983,0.730909076549617,6.46880229817506,3.88,15.64,-560318.63990781,3
season,SWM,-1.39099841577694,0.603486530892871,12.1426606810569,6.51,30.1,-29183.6886135087,3
annual,2012,-2.05292335504269,0.945446970125198,8.47015981461864,5.74,19.68,-50319.8612191191,4
annual,2013,-1.4917515710715,0.745058368819526,7.60249615042469,4.61,18.33,-179756.257545404,4
annual,2014,-0.72559665157937,0.63773126315763,5.28103612239924,2.93,13,-195016.776429683,4
interannual,2012-4,-1.20970172967557,0.699453147035508,6.67286908595761,3.91,16.24,-593862.214653521,4
season,NEM,-1.25211108985447,0.721822499746838,6.44322526483647,3.84,15.61,-560602.154820113,4
season,SWM,-1.43911153989094,0.61133064083957,12.2368667645849,6.62,30.29,-28787.0616420129,4
annual,2012,-2.01981087476643,0.925092482804171,8.48255466772094,5.7,19.78,-49834.8907383991,5
annual,2013,-1.53149504588992,0.757016675663572,7.63160381203995,4.67,18.36,-179848.424842626,5
annual,2014,-0.717104661520895,0.635220392053823,5.29689896782859,2.93,13.05,-193850.078527176,5
interannual,2012-4,-1.21573901616469,0.700544286630462,6.68698862603963,3.92,16.27,-591796.089694463,5
season,NEM,-1.26018482592713,0.7236302655023,6.45665564582108,3.85,15.63,-558871.363398302,5
season,SWM,-1.47303480709061,0.61742804619133,12.2787823873131,6.68,30.35,-28417.0520245111,5
annual,2012,-2.04559546018995,0.942395946710983,8.45095028557401,5.72,19.65,-50637.0312189998,6
annual,2013,-1.54557697340799,0.763042158506154,7.60515141913338,4.67,18.28,-181514.132991169,6
annual,2014,-0.704629060263381,0.632870906197516,5.28833178832728,2.92,13.03,-194568.216872068,6
interannual,2012-4,-1.21431406668311,0.700668746965339,6.67448563225902,3.91,16.24,-594136.585479576,6
season,NEM,-1.25476786778889,0.722498589497958,6.44587735832078,3.84,15.61,-560413.315152682,6
