data_source,time_scale,time_id,lower_k,k,upper_k,lower_theta,theta,upper_theta,lower_mdd,mdd,upper_mdd,lower_med,med,upper_med,dist90
simulation_08PLD,annual,2012,-0.388,-0.388,-0.386,0.637,0.637,0.637,3.77,3.77822423644382,3.78,2.09,2.09641041113457,2.1,9.30505888780661
simulation_08PLD,annual,2013,-0.645,-0.642,-0.642,0.679,0.679,0.68,4.07,4.08070541961774,4.1,2.35,2.35190528319043,2.36,9.96781212981102
simulation_08PLD,annual,2014,0.074,0.076,0.076,0.564,0.564,0.565,3.49,3.50478307903728,3.51,1.79,1.79726295628089,1.8,8.74907418644373
simulation_08PLD,interannual,2012-4,-0.314,-0.312,-0.312,0.621,0.621,0.622,3.76,3.77061337467421,3.79,2.06,2.06050058551574,2.07,9.31404394988521
simulation_08PLD,season,Amihan,-0.433,-0.432,-0.43,0.657,0.657,0.657,3.61,3.61771857692861,3.62,2.04,2.04484175562624,2.05,8.87549325337996
simulation_08PLD,season,Habagat,0.234,0.239,0.247,0.467,0.467,0.467,6.33,6.35451159370473,6.41,2.81,2.82610202823881,2.85,16.0857799068285
genetics,annual,2012,-3.494,-3.271,-3.2,1.94,3.529,4.337,11.93,13.02,18.81,11.24,12.02,15.8,25.08
genetics,annual,2013,-3.289,-3.275,-3.191,4.372,5,5,11.75,12.77,13.03,11.2,12.18,12.29,23.91
genetics,annual,2014,1.861,1.972,2.506,0.215,0.26,0.268,32.82,76,836.81,7.88,17.47,140.81,182.37
genetics,interannual,2012-4,-0.469,-0.226,-0.116,0.434,0.439,0.453,10.5,13.69,18.5,4.55,5.77,7.72,34.74
genetics,season,Amihan,0.349,0.764,0.856,0.324,0.373,0.414,6.32,12.87,52.55,2.53,4.64,16.2,32.61
genetics,season,Habagat,-3.451,-3.384,-3.324,4.398,5,5,13.42,14.25,15.32,12.79,13.59,14.45,26.67
