Cabatoan,Caridad Cemetery,Caridad Proper,Elementary School,Gabas,Haina,Hicgop South,Magbangon,Palanas,Poroc Rose,Poroc San Flower,San Agustin,Sitio Baybayon,Sitio Lonas,Sitio Tugas,Tamakin Dacot,Visca,Wangag
1002,1132,1769,235,0,48,922,787,204,71,136,381,940,375,334,55,1,283
766,2242,2922,202,8,12,245,763,129,78,146,539,902,662,322,2,0,126
774,731,2096,186,0,8,264,522,48,56,197,700,761,667,310,4,2,89
447,909,1762,1582,1,39,3832,436,88,184,286,838,530,721,1841,8,2,95
117,94,354,1825,17058,162,1200,103,31,814,1234,5624,166,10621,1567,123,8590,22
21,1,11,127,20,3475,40,14,4,28,36,91,62,28,56,1317,76,8
1076,2272,3675,1973,50,479,4098,753,222,674,1125,1847,1888,2154,1715,267,77,351
759,1862,2692,177,0,46,805,462,372,41,83,532,1641,269,235,23,13,542
665,1481,803,2,0,0,93,799,631,9,1,38,3136,1,51,0,0,560
146,325,1016,1036,11,185,735,38,81,757,1134,2265,147,5030,1070,105,678,51
179,226,818,1688,4,181,808,80,80,1180,1579,5073,228,8516,1563,103,463,94
161,151,997,1529,1,86,1449,133,55,1687,1484,5125,191,10166,1576,43,127,73
4326,6239,7982,238,0,38,847,4779,1503,71,197,1110,23518,589,554,53,1,2488
289,500,1876,2357,0,0,9050,198,75,51,145,2966,269,25992,3890,0,9,57
451,393,774,494,1,50,412,289,71,184,271,783,1038,754,386,14,8,131
8,12,18,3,59,24719,22,6,0,77,16,88,5,51,20,89036,405,0
59,139,942,1303,28,203,474,61,43,798,1221,3939,83,6037,1172,178,296,23
1994,2150,2227,76,0,15,337,2385,860,51,65,414,9729,126,126,10,0,1125
18877,21764,24086,21110,4055,53871,33600,18610,20296,7217,8742,12101,38936,19517,12731,150187,8072,18392
