Cabatoan,Caridad Cemetery,Caridad Proper,Elementary School,Gabas,Haina,Hicgop South,Magbangon,Palanas,Poroc Rose,Poroc San Flower,San Agustin,Sitio Baybayon,Sitio Lonas,Sitio Tugas,Tamakin Dacot,Visca,Wangag
10,1,0,0,0,0,0,7,26,0,0,0,51,0,0,0,0,10
23,42,70,0,0,0,48,17,5,0,0,0,41,0,0,0,0,3
19,23,117,0,0,0,46,6,2,0,0,0,49,0,0,0,0,11
21,28,196,0,0,0,135,4,1,0,0,0,12,0,63,0,0,4
1,3,67,100,1754,14,20,1,2,330,260,914,0,1194,13,34,868,0
2,0,2,0,0,223,0,2,0,0,0,43,43,0,5,471,22,4
47,49,215,0,0,0,392,21,1,0,0,0,56,0,0,0,0,6
16,1,20,0,0,0,2,18,18,0,0,0,137,0,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,24,322,88,1,0,16,15,0,49,113,327,36,569,35,0,9,2
121,34,187,178,0,0,36,40,0,106,224,503,8,685,115,0,9,1
0,16,35,113,0,0,5,2,1,107,195,454,37,364,47,0,2,21
24,6,0,0,0,0,0,13,24,0,0,0,208,0,0,0,0,38
0,0,1,4,0,0,2,0,1,2,9,34,0,35,0,0,0,3
37,0,9,0,0,0,11,12,23,0,0,0,50,0,0,0,0,23
0,0,0,0,3,853,0,1,0,5,1,5,0,2,0,5199,21,0
12,45,220,150,0,0,25,0,0,116,220,502,1,542,80,0,4,1
9,0,0,0,0,0,0,0,33,0,0,0,13,0,0,0,0,44
2444,4022,4841,11137,2242,10210,15729,2266,2460,4405,4932,3712,4581,6873,3691,17776,1866,2201
