"source","destination","YearSampled","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"Palanas","Other","2011",NA,NA,240677,241056,0.99842775122793
"Wangag","Other","2011",NA,NA,239823,241056,0.994885005973716
"Other","Other","2014",NA,NA,893315882,899545600,0.993074594550849
"Other","Other","2011",NA,NA,1084971729,1092947904,0.992702145298226
"Haina","Other","2014",NA,NA,393719,396800,0.992235383064516
"Haina","Other","2013",NA,NA,476195,482112,0.98772691822647
"Haina","Other","2011",NA,NA,475688,482112,0.986675295367052
"Palanas","Other","2012",NA,NA,238722,242048,0.986258923849815
"SF2","Other","2011",NA,NA,712897,723168,0.985797214478517
"Other","Other","2012",NA,NA,1078842165,1097445632,0.983048393052422
"Other","Other","2013",NA,NA,1074101172,1092947904,0.982756056413097
"SF3","Other","2011",NA,NA,1183839,1205280,0.982210772600558
"Haina","Other","2012",NA,NA,474400,484096,0.979970914859863
"Caridad Proper","Other","2011",NA,NA,236085,241056,0.979378235762644
"Palanas","Other","2013",NA,NA,235969,241056,0.978897019779636
"Cabatoan","Other","2011",NA,NA,235531,241056,0.977080014602416
"SF2","Other","2013",NA,NA,705998,723168,0.976257245895836
"Sitio Tugas","Other","2011",NA,NA,234989,241056,0.974831574405947
"Sitio Baybayon","Other","2011",NA,NA,469852,482112,0.97457022434621
"SF3","Other","2013",NA,NA,1172394,1205280,0.972715053763441
"Cabatoan","Other","2013",NA,NA,234165,241056,0.971413281561131
"SF3","Other","2012",NA,NA,1175183,1210240,0.971033018244315
"Magbangon","Other","2011",NA,NA,233936,241056,0.970463294836055
"Sitio Tugas","Other","2013",NA,NA,233491,241056,0.968617250763308
"Caridad Proper","Other","2013",NA,NA,233393,241056,0.968210706225939
"Sitio Tugas","Other","2014",NA,NA,191333,198400,0.964380040322581
"SF3","Other","2014",NA,NA,955904,992000,0.963612903225807
"Caridad Cemetery","Other","2011",NA,NA,232264,241056,0.963527147218904
"SF2","Other","2012",NA,NA,699639,726144,0.963498975409836
"Magbangon","Other","2013",NA,NA,231904,241056,0.96203371830612
"Sitio Lonas","Other","2011",NA,NA,231692,241056,0.961154254613036
"Sitio Tugas","Other","2012",NA,NA,232381,242048,0.960061640666314
"Palanas","Other","2014",NA,NA,190473,198400,0.960045362903226
"Caridad Cemetery","Other","2013",NA,NA,231424,241056,0.960042479755741
