"source","destination","dist_km","direction","CV"
"Cabatoan","Gabas",15.9248209877409,246,0
"Cabatoan","SF4",NA,NA,0
"CAI","Caridad Cemetery",37.5119107683828,328,0
"CAI","Elementary School",38.0846165851528,334,0
"CAI","SF3",NA,NA,0
"CAI","Sitio Lonas",38.8302576868779,335,0
"CAI","Sitio Tugas",38.1435748645998,331,0
"Caridad Cemetery","SF6",NA,NA,0
"Caridad Cemetery","Visca",11.1170499867974,257,0
"Caridad Proper","Gabas",12.3313979398098,260,0
"Caridad Proper","SF6",NA,NA,0
"Elementary School","SF4",NA,NA,0
"Elementary School","SF6",NA,NA,0
"Magbangon","Gabas",16.1581187484931,244,0
"Magbangon","SF4",NA,NA,0
"Palanas","Gabas",18.5270048321881,236,0
"Palanas","Haina",26.9920106136833,276,0
"Palanas","SF4",NA,NA,0
"Palanas","SF5",NA,NA,0
"Palanas","SF6",NA,NA,0
"Palanas","Tamakin Dacot",25.829348683192,273,0
"Palanas","Visca",16.5775204258635,232,0
"SF1","SF6",NA,NA,0
"SF3","Gabas",NA,NA,0
"SF3","Tamakin Dacot",NA,NA,0
"Sitio Baybayon","Gabas",10.3497099508259,181,0
"Sitio Lonas","Gabas",5.29391347715393,289,0
"Sitio Lonas","Haina",14.8456846831604,55,0
"Sitio Lonas","SF6",NA,NA,0
"Sitio Lonas","Tamakin Dacot",13.5438241042835,314,0
"Tamakin Dacot","Palanas",25.829348683192,40,0
"Tamakin Dacot","Wangag",25.3830246400065,38,0
"Wangag","Gabas",18.0301766971931,238,0
"Wangag","SF4",NA,NA,0
"Wangag","SF6",NA,NA,0
"Wangag","Visca",16.078031642585,235,0
"Haina","Other",NA,NA,0.00453288464192373
"Other","Other",NA,NA,0.00686135569063324
"Sitio Tugas","Other",NA,NA,0.0153569857611301
"SF3","Other",NA,NA,0.0178572051272094
"Palanas","Other",NA,NA,0.0180083471224804
"Cabatoan","Other",NA,NA,0.0192052469161288
"SF2","Other",NA,NA,0.0240258788031094
"Magbangon","Other",NA,NA,0.0261475266389246
"Elementary School","Other",NA,NA,0.0279350797670229
"San Agustin","Other",NA,NA,0.0296682432118313
"Hicgop South","Other",NA,NA,0.0315559872266623
"Wangag","Other",NA,NA,0.0392573012511854
"SF1","Other",NA,NA,0.0408554977078766
"SF5","Other",NA,NA,0.0419208319057507
"Caridad Cemetery","Other",NA,NA,0.0422979066296102
"SF4","Other",NA,NA,0.0437962916311799
"Caridad Proper","Other",NA,NA,0.043946491427102
"Poroc San Flower","Other",NA,NA,0.0447097913025762
"Pangasugan","Other",NA,NA,0.0511294601609761
"Sitio Baybayon","Other",NA,NA,0.0517531775540327
"SF6","Other",NA,NA,0.0585580512438336
"Gabas","Other",NA,NA,0.0621404137085514
"Poroc Rose","Other",NA,NA,0.0673021828443253
"CAI","CAI",0,62,0.0674928778524514
"Visca","Other",NA,NA,0.0685173699132938
"Tamakin Dacot","Other",NA,NA,0.0720747573994091
"Gabas","SF3",NA,NA,0.103345860884834
"Sitio Lonas","Other",NA,NA,0.112625050041071
"Other","SF5",NA,NA,0.134292525765977
"Other","Cabatoan",NA,NA,0.141798852580989
"CAI","Other",NA,NA,0.157514715010594
"Other","Magbangon",NA,NA,0.194203078774325
"SF5","Sitio Lonas",NA,NA,0.213360555956331
"Gabas","San Agustin",4.69383486209879,24,0.226087069790876
"Poroc San Flower","Sitio Tugas",5.09597019923732,77,0.230978491626127
"Gabas","Poroc San Flower",4.12137215375566,17,0.232552648653724
"Other","Sitio Baybayon",NA,NA,0.237657261886662
"SF4","SF2",NA,NA,0.251967076496612
"Poroc San Flower","SF2",NA,NA,0.260560861936154
"Other","SF2",NA,NA,0.282741033595642
"SF6","SF5",NA,NA,0.285716892841091
"Other","Wangag",NA,NA,0.286396741925925
"Other","Palanas",NA,NA,0.289351876358683
"SF4","Sitio Tugas",NA,NA,0.295693212568266
"Gabas","SF2",NA,NA,0.29968339277373
"Other","Caridad Proper",NA,NA,0.310299256432702
"San Agustin","Sitio Lonas",0.604019027624227,156,0.32451551850349
"Other","SF1",NA,NA,0.328780559154075
"Pangasugan","Visca",NA,NA,0.333217416400057
"Other","SF3",NA,NA,0.340655139931691
"Other","Tamakin Dacot",NA,NA,0.344203751586815
"San Agustin","Elementary School",3.71624288089285,83,0.344712398862163
"Other","Sitio Tugas",NA,NA,0.34862545544259
"Other","Caridad Cemetery",NA,NA,0.356360249978209
"Gabas","SF5",NA,NA,0.358593942873124
"San Agustin","SF3",NA,NA,0.365831039061531
"San Agustin","Caridad Cemetery",8.48939965705146,92,0.377734218062629
"SF5","Poroc San Flower",NA,NA,0.387251920946493
"SF5","Tamakin Dacot",NA,NA,0.399722454683589
"Pangasugan","San Agustin",NA,NA,0.420283628595491
"SF5","SF6",NA,NA,0.42058811817842
"SF1","Magbangon",NA,NA,0.433340448164661
"Other","San Agustin",NA,NA,0.433697047242581
"Gabas","Elementary School",8.35384165537914,64,0.435052885795924
"Visca","Sitio Lonas",3.3797826959065,159,0.435856083541444
"Poroc San Flower","Poroc Rose",0.956338767353715,56,0.44671033962918
"Poroc San Flower","Sitio Lonas",1.17254142021535,15,0.447173399325395
"Other","Pangasugan",NA,NA,0.451075795999716
"Poroc San Flower","Caridad Proper",8.29929043854204,84,0.451438427064324
"Hicgop South","Sitio Tugas",0.912910872621498,263,0.455948797478932
"SF5","SF5",NA,NA,0.456464301725664
"SF5","Hicgop South",NA,NA,0.456834083589028
"Poroc San Flower","Hicgop South",6.00735397943935,75,0.462984219750669
"Pangasugan","Pangasugan",NA,NA,0.465179347397807
"Gabas","Pangasugan",NA,NA,0.466207815296491
"Visca","San Agustin",2.77577160643729,161,0.472377616421316
"Poroc Rose","SF2",NA,NA,0.474864745170213
"Hicgop South","Caridad Proper",2.33565955110038,129,0.475713669763263
"San Agustin","SF1",NA,NA,0.475815650807253
"Poroc San Flower","Poroc San Flower",0,62,0.476111792766359
"San Agustin","San Agustin",0,62,0.481673224327154
"SF5","SF3",NA,NA,0.482232246427269
"Gabas","Sitio Lonas",5.29391347715393,16,0.485398840100014
"SF5","Poroc Rose",NA,NA,0.486253441586365
"Poroc Rose","Poroc Rose",0.000134258785931453,62,0.489569633251632
"SF4","San Agustin",NA,NA,0.497012079159008
"Pangasugan","Sitio Lonas",NA,NA,0.500385333059085
"Visca","SF2",NA,NA,0.500945535943038
"SF3","SF3",NA,NA,0.501136899397481
"SF4","Sitio Lonas",NA,NA,0.503644768133519
"SF4","Poroc San Flower",NA,NA,0.505020854153187
"Gabas","Gabas",0,62,0.510364260604448
"Poroc Rose","Poroc San Flower",0.956338767353715,173,0.51616196054254
"Gabas","Sitio Tugas",9.17150421430282,60,0.532116579625909
"Poroc San Flower","San Agustin",0.575632693433525,61,0.543551305784633
"Sitio Tugas","Sitio Tugas",9.49352979660034e-05,62,0.545075881441975
"San Agustin","Caridad Proper",7.72994839109529,89,0.546323767922102
"Pangasugan","SF1",NA,NA,0.546623014369803
"SF5","San Agustin",NA,NA,0.54825615020755
"Poroc San Flower","SF3",NA,NA,0.55133478478241
"Tamakin Dacot","SF5",NA,NA,0.552879762055405
"Gabas","Hicgop South",10.0841152266487,63,0.554502711667086
"Poroc Rose","Sitio Lonas",2.11528043332987,160,0.557319410771746
"Pangasugan","Poroc San Flower",NA,NA,0.558839056597193
"Other","Sitio Lonas",NA,NA,0.560866119982207
"San Agustin","Sitio Tugas",4.52288186298911,79,0.565691447263587
"Other","Haina",NA,NA,0.574381002721837
"SF5","Haina",NA,NA,0.574716397831503
"Gabas","Poroc Rose",3.19705081559734,34,0.575144954571347
"SF4","Caridad Proper",NA,NA,0.58005424701934
"SF4","Elementary School",NA,NA,0.582057843095797
"Hicgop South","Cabatoan",6.11477685668207,141,0.583026100465167
"SF5","Pangasugan",NA,NA,0.585028369921151
"SF4","SF3",NA,NA,0.585255657789349
"Poroc Rose","Sitio Tugas",5.97906582562741,66,0.586342241313562
"Caridad Proper","Sitio Baybayon",21.7509719512898,297,0.586696831143044
"SF1","Sitio Baybayon",NA,NA,0.592677345479077
"Tamakin Dacot","Tamakin Dacot",9.49352979660034e-05,62,0.595346957570558
"Pangasugan","SF2",NA,NA,0.595777594452589
"Elementary School","SF3",NA,NA,0.597929783713798
"Haina","Haina",0,62,0.598002577189387
"Other","Hicgop South",NA,NA,0.59909006173802
"Caridad Proper","Cabatoan",3.78950368118107,147,0.602570356692538
"Pangasugan","Caridad Proper",NA,NA,0.604020913993647
"Cabatoan","Caridad Proper",3.78950368118107,188,0.605883395039244
"SF5","Visca",NA,NA,0.605969386449172
"San Agustin","Poroc San Flower",0.575632693433525,268,0.606060264708091
"Gabas","Visca",1.9629852193109,72,0.607924616514027
"Gabas","SF1",NA,NA,0.617522525073261
"Visca","Poroc San Flower",2.21665869501555,103,0.620790239584948
"SF5","Sitio Tugas",NA,NA,0.623127274962302
"SF2","Wangag",NA,NA,0.623458174688191
"Pangasugan","SF4",NA,NA,0.630848435796247
"Elementary School","Cabatoan",7.74042122042586,125,0.634019863394768
"Poroc San Flower","Caridad Cemetery",9.05786494633732,88,0.634168546127932
"Caridad Cemetery","Magbangon",3.28805912992589,150,0.63508341416871
"Sitio Baybayon","Sitio Baybayon",9.49352979660034e-05,62,0.641016448092526
"Other","Elementary School",NA,NA,0.647124751597596
"Gabas","Tamakin Dacot",8.43842668542606,42,0.647784853573253
"Haina","SF5",NA,NA,0.648222244673899
"SF1","Cabatoan",NA,NA,0.649124740151086
"Poroc Rose","Cabatoan",12.7986271025087,100,0.650562951941823
"SF6","Tamakin Dacot",NA,NA,0.654324372237555
"San Agustin","Poroc Rose",1.51127255483946,299,0.655480744072157
"Visca","SF4",NA,NA,0.65636649022412
"SF4","Poroc Rose",NA,NA,0.661705418651773
"San Agustin","SF2",NA,NA,0.665298885984612
"Sitio Lonas","Poroc Rose",2.11528043332987,301,0.66566393018757
"Poroc Rose","Sitio Baybayon",13.2745735162831,44,0.667597576864681
"Other","CAI",NA,NA,0.669550518076208
"Other","Visca",NA,NA,0.669883787238052
"Hicgop South","SF2",NA,NA,0.671861676746112
"Wangag","Palanas",0.540970717463239,155,0.680804250370387
"San Agustin","Magbangon",11.6652303956557,115,0.680804820360512
"Hicgop South","Magbangon",6.36236340664461,142,0.681646652008919
"Elementary School","Caridad Cemetery",4.77585415072936,98,0.683456366794711
"Gabas","SF4",NA,NA,0.685950175553418
"SF5","SF4",NA,NA,0.687968286682797
"Hicgop South","Hicgop South",0,62,0.698274520301654
"SF4","Caridad Cemetery",NA,NA,0.699391440744131
"Visca","Sitio Tugas",7.21408228716616,39,0.704348417982622
"Hicgop South","SF1",NA,NA,0.704772507209152
"SF4","Hicgop South",NA,NA,0.711542833315062
"Poroc San Flower","Elementary School",4.28736209804195,81,0.712748895193079
"Pangasugan","Poroc Rose",NA,NA,0.713585394619456
"Visca","Hicgop South",8.12617156228781,58,0.715140826124425
"SF2","Cabatoan",NA,NA,0.716011232762682
"SF5","SF1",NA,NA,0.716761566609318
"Caridad Proper","Wangag",5.91579724335279,143,0.727752401680479
"Sitio Tugas","SF1",NA,NA,0.727859440450705
"Visca","Pangasugan",NA,NA,0.733808542622911
"Caridad Proper","Magbangon",4.03826759766962,148,0.735441525269257
"San Agustin","Hicgop South",5.43370927160229,76,0.73773669805565
"Elementary School","SF2",NA,NA,0.738182957573618
"San Agustin","Cabatoan",11.4243171337323,113,0.738690626976645
"SF1","Palanas",NA,NA,0.739767772547455
"Hicgop South","SF3",NA,NA,0.743472282371771
"Elementary School","Hicgop South",1.73052315940533,59,0.743990687328126
"SF3","San Agustin",NA,NA,0.744076961848618
"Poroc Rose","Caridad Proper",9.15713870255119,78,0.744575044548232
"Pangasugan","Sitio Tugas",NA,NA,0.746199044475236
"Sitio Tugas","Cabatoan",6.97778704506868,133,0.749078489937552
"Sitio Lonas","SF3",NA,NA,0.749641987153067
"Elementary School","Sitio Tugas",0.819148876610196,30,0.750211877067552
"SF4","Pangasugan",NA,NA,0.751277831322374
"Tamakin Dacot","SF6",NA,NA,0.752773609078221
"Cabatoan","SF2",NA,NA,0.753280823654338
"Poroc Rose","San Agustin",1.51127255483946,162,0.754498111839958
"Magbangon","Caridad Cemetery",3.28805912992589,185,0.760066375487765
"SF4","Visca",NA,NA,0.763471071977513
"Sitio Baybayon","Wangag",26.8620654279672,26,0.768332219064612
"Sitio Tugas","SF3",NA,NA,0.775277472913951
"SF4","SF4",NA,NA,0.77529699047784
"Palanas","Wangag",0.540970717463239,183,0.775616337953599
"SF2","Hicgop South",NA,NA,0.776643162817593
"Caridad Cemetery","Wangag",5.15903752298336,145,0.777418583191461
"Caridad Cemetery","Sitio Baybayon",22.4353813748238,296,0.778928341755081
"Tamakin Dacot","Haina",1.32935692208799,36,0.778979371543881
"SF3","Cabatoan",NA,NA,0.780276158118279
"SF2","Magbangon",NA,NA,0.780415725789325
"Gabas","Haina",9.76388806466271,41,0.781171456366219
"Hicgop South","Elementary School",1.73052315940533,270,0.781986553495781
"Sitio Baybayon","SF1",NA,NA,0.782184113015845
"SF5","SF2",NA,NA,0.783449809762531
"SF1","SF1",NA,NA,0.784843196165598
"SF6","SF6",NA,NA,0.785909051899829
"Elementary School","Caridad Proper",4.01495979265945,94,0.787458719437186
"Gabas","Caridad Cemetery",13.0800106975381,73,0.787974207852236
"Caridad Cemetery","Cabatoan",3.03869204915848,149,0.789397899923435
"SF4","SF1",NA,NA,0.789642845829967
