site,time_frame,end_year,PropAnemSamp,TotalAnems
Cabatoan,2012,2012,0.423076923076923,26
Caridad Cemetery,2012,2012,0,4
Caridad Proper,2012,2012,0,4
Elementary School,2012,2012,0,7
Gabas,2012,2012,0,9
Haina,2012,2012,0,104
Hicgop South,2012,2012,0,18
Magbangon,2012,2012,0.459383753501401,139
Palanas,2012,2012,0.289855072463768,138
Poroc Rose,2012,2012,1,13
Poroc San Flower,2012,2012,1,11
San Agustin,2012,2012,0.888888888888889,18
Sitio Baybayon,2012,2012,0,259
Sitio Lonas,2012,2012,0.666666666666667,3
Sitio Tugas,2012,2012,0,9
Tamakin Dacot,2012,2012,0,48
Visca,2012,2012,1,13
Wangag,2012,2012,0.18213058419244,291
Cabatoan,2012-2013,2013,0.5,52
Caridad Cemetery,2012-2013,2013,0.375,8
Caridad Proper,2012-2013,2013,1,4
Elementary School,2012-2013,2013,0.5,14
Gabas,2012-2013,2013,0,18
Haina,2012-2013,2013,0.0288461538461538,208
Hicgop South,2012-2013,2013,0.333333333333333,36
Magbangon,2012-2013,2013,0.571008403361345,278
Palanas,2012-2013,2013,0.431159420289855,276
Poroc Rose,2012-2013,2013,1,26
Poroc San Flower,2012-2013,2013,0.909090909090909,22
San Agustin,2012-2013,2013,0.75,36
Sitio Baybayon,2012-2013,2013,0.0714285714285714,518
Sitio Lonas,2012-2013,2013,1,3
Sitio Tugas,2012-2013,2013,1,9
Tamakin Dacot,2012-2013,2013,0.125,96
Visca,2012-2013,2013,1,26
Wangag,2012-2013,2013,0.254295532646048,582
Cabatoan,2012-2014,2014,0.525641025641026,78
Caridad Cemetery,2012-2014,2014,0.416666666666667,12
Caridad Proper,2012-2014,2014,1,4
Elementary School,2012-2014,2014,0.476190476190476,21
Gabas,2012-2014,2014,0,27
Haina,2012-2014,2014,0.0641025641025641,312
Hicgop South,2012-2014,2014,0.314814814814815,54
Magbangon,2012-2014,2014,0.621848739495798,417
Palanas,2012-2014,2014,0.446859903381642,414
Poroc Rose,2012-2014,2014,0.897435897435897,39
Poroc San Flower,2012-2014,2014,0.848484848484848,33
San Agustin,2012-2014,2014,0.740740740740741,54
Sitio Baybayon,2012-2014,2014,0.148005148005148,777
Sitio Lonas,2012-2014,2014,1,3
Sitio Tugas,2012-2014,2014,1,9
Tamakin Dacot,2012-2014,2014,0.159722222222222,144
Visca,2012-2014,2014,0.743589743589744,39
Wangag,2012-2014,2014,0.310423825887743,873
Cabatoan,2012-2015,2015,0.557692307692308,104
