year,site,num_females,n_offs_gen,prop_anem_samp
2012,Cabatoan,8,4,0.423076923076923
2012,Caridad Cemetery,,0,0
2012,Caridad Proper,,0,0
2012,Elementary School,,0,0
2012,Gabas,,0,0
2012,Haina,,0,0
2012,Hicgop South,,0,0
2012,N.Magbangon,75,1,0.0476190476190476
2012,Palanas,49,13,0.289855072463768
2012,Poroc Rose,9,9,1
2012,Poroc San Flower,4,9,1
2012,S.Magbangon,26,9,0.411764705882353
2012,San Agustin,6,0,0.888888888888889
2012,Sitio Baybayon,,0,0
2012,Sitio Lonas,1,1,1
2012,Sitio Tugas,,0,0
2012,Tamakin Dacot,,0,0
2012,Visca,4,1,1
2012,Wangag,98,16,0.18213058419244
2013,Cabatoan,28,3,0.5
2013,Caridad Cemetery,5,2,0.375
2013,Caridad Proper,3,4,1
2013,Elementary School,9,11,0.5
2013,Gabas,,0,0
2013,Haina,124,6,0.0288461538461538
2013,Hicgop South,21,4,0.333333333333333
2013,N.Magbangon,43,9,0.0857142857142857
2013,Palanas,112,43,0.431159420289855
2013,Poroc Rose,9,1,1
2013,Poroc San Flower,7,1,0.909090909090909
2013,S.Magbangon,35,9,0.485294117647059
2013,San Agustin,9,0,0.75
2013,Sitio Baybayon,212,20,0.0714285714285714
2013,Sitio Lonas,,0,1
2013,Sitio Tugas,4,0,0
2013,Tamakin Dacot,36,2,0.125
2013,Visca,27,6,1
2013,Wangag,181,29,0.254295532646048
2014,Cabatoan,15,6,0.525641025641026
2014,Caridad Cemetery,7,0,0.416666666666667
2014,Caridad Proper,,0,1
2014,Elementary School,4,0,0.476190476190476
2014,Gabas,,0,0
2014,Haina,53,2,0.0641025641025641
2014,Hicgop South,,0,0.314814814814815
2014,N.Magbangon,18,29,0.19047619047619
2014,Palanas,45,38,0.446859903381642
2014,Poroc Rose,3,1,0.897435897435897
2014,Poroc San Flower,7,1,0.848484848484848
2014,S.Magbangon,11,6,0.431372549019608
2014,San Agustin,5,0,0.740740740740741
2014,Sitio Baybayon,166,32,0.148005148005148
2014,Sitio Lonas,,0,1
2014,Sitio Tugas,,0,0
2014,Tamakin Dacot,8,3,0.159722222222222
2014,Visca,23,1,0.743589743589744
2014,Wangag,25,62,0.310423825887743
